Timestamp,Score
2026-02-21 23:27:30,1
2026-02-21 23:27:31,1
2026-02-21 23:27:32,1
2026-02-21 23:27:32,1
2026-02-21 23:27:33,1
2026-02-21 23:27:34,1
2026-02-21 23:27:34,1
2026-02-21 23:27:35,1
2026-02-21 23:27:36,1
2026-02-21 23:27:36,1
2026-02-21 23:27:37,1
2026-02-21 23:27:38,1
2026-02-21 23:27:38,1
2026-02-21 23:27:39,1
2026-02-21 23:27:40,1
2026-02-21 23:27:40,1
2026-02-21 23:27:41,6
2026-02-21 23:27:43,5
2026-02-21 23:27:44,4
2026-02-21 23:27:45,5
2026-02-21 23:27:46,6
2026-02-21 23:27:48,1
2026-02-21 23:27:49,1
2026-02-21 23:27:49,1
2026-02-21 23:27:50,1
2026-02-21 23:27:51,1
2026-02-21 23:27:51,1
2026-02-21 23:27:52,1
2026-02-21 23:27:53,1
2026-02-21 23:27:53,1
2026-02-21 23:27:54,1
